Place :, Queen Elizabeth Park, City :, Vancouver, Address :, 4600 Cambie St., Description :, Queen Elizabeth Park is in the geographical heart of Vancouver and only 15 minutes by public transit from the downtown.
Place :, Old Montreal (Vieux-Montréal), City :, Montreal, Address :, St-Antoine St south to the St Lawrence River, Description :, As the site of the original city of Montreal. Vieux-Montréal is the hub of the city's culture. 
Place :, Montmorency Falls Park, City :, Quebec City, Address :, Avenue Royale, Description :, Montmorency Falls Park attracts nature lovers and sightseers alike with its 272-foot waterfall.
